mode,execution_ms,idle_scrapping_ms,active_interval_ms,active_fraction,n_traces,mean_delta_energy_j,std_delta_energy_j,base_dir,source_csv_list
compute,250.0,1000.0,3.0,0.012,100,0.9444409599999998,0.18590370115481408,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_0/logs/exp1_active.20251120T075846Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_1/logs/exp1_active.20251120T075953Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_2/logs/exp1_active.20251120T080102Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_3/logs/exp1_active.20251120T080208Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_4/logs/exp1_active.20251120T080314Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_5/logs/exp1_active.20251120T080420Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_6/logs/exp1_active.20251120T080527Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_7/logs/exp1_active.20251120T080633Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_8/logs/exp1_active.20251120T080739Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3ms_actscr/exp_9/logs/exp1_active.20251120T080845Z.csv
compute,250.0,1000.0,6.0,0.024,100,0.9470046999999999,0.1136734428411931,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_0/logs/exp1_active.20251120T074744Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_1/logs/exp1_active.20251120T074851Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_2/logs/exp1_active.20251120T074957Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_3/logs/exp1_active.20251120T075103Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_4/logs/exp1_active.20251120T075209Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_5/logs/exp1_active.20251120T075315Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_6/logs/exp1_active.20251120T075422Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_7/logs/exp1_active.20251120T075528Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_8/logs/exp1_active.20251120T075634Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6ms_actscr/exp_9/logs/exp1_active.20251120T075740Z.csv
compute,250.0,1000.0,25.0,0.1,100,0.88818347,0.1294534585434051,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_0/logs/exp1_active.20251118T225715Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_0/logs/exp1_active.20251120T072755Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_1/logs/exp1_active.20251119T200905Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_1/logs/exp1_active.20251120T072901Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_2/logs/exp1_active.20251120T073007Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_3/logs/exp1_active.20251120T073113Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_4/logs/exp1_active.20251120T073219Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_5/logs/exp1_active.20251120T073325Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_6/logs/exp1_active.20251120T073431Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_7/logs/exp1_active.20251120T073536Z.csv
compute,250.0,1000.0,250.0,1.0,100,0.9267980699999999,0.4496725789280965,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_0/logs/exp1_active.20251118T225251Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_0/logs/exp1_active.20251120T065236Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_1/logs/exp1_active.20251119T200439Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_1/logs/exp1_active.20251120T065342Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_2/logs/exp1_active.20251120T065448Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_3/logs/exp1_active.20251120T065554Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_4/logs/exp1_active.20251120T065700Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_5/logs/exp1_active.20251120T065807Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_6/logs/exp1_active.20251120T065913Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_7/logs/exp1_active.20251120T070019Z.csv
compute,250.0,1000.0,187.0,0.748,100,0.8027010100000002,0.4844208022141597,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_0/logs/exp1_active.20251118T225357Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_0/logs/exp1_active.20251120T070126Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_1/logs/exp1_active.20251119T200546Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_1/logs/exp1_active.20251120T070232Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_2/logs/exp1_active.20251120T070339Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_3/logs/exp1_active.20251120T070445Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_4/logs/exp1_active.20251120T070551Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_5/logs/exp1_active.20251120T070657Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_6/logs/exp1_active.20251120T070803Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/187ms_actscr/exp_7/logs/exp1_active.20251120T070910Z.csv
compute,250.0,1000.0,125.0,0.5,100,0.9420566000000002,0.3111548298600874,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_0/logs/exp1_active.20251118T225503Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_0/logs/exp1_active.20251120T071016Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_1/logs/exp1_active.20251119T200652Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_1/logs/exp1_active.20251120T071122Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_2/logs/exp1_active.20251120T071228Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_3/logs/exp1_active.20251120T071334Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_4/logs/exp1_active.20251120T071441Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_5/logs/exp1_active.20251120T071547Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_6/logs/exp1_active.20251120T071653Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_7/logs/exp1_active.20251120T071759Z.csv
compute,250.0,1000.0,12.0,0.048,100,0.91285273,0.11054033944627224,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_0/logs/exp1_active.20251120T073642Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_1/logs/exp1_active.20251120T073748Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_2/logs/exp1_active.20251120T073855Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_3/logs/exp1_active.20251120T074001Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_4/logs/exp1_active.20251120T074107Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_5/logs/exp1_active.20251120T074213Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_6/logs/exp1_active.20251120T074320Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_7/logs/exp1_active.20251120T074426Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_8/logs/exp1_active.20251120T074532Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12ms_actscr/exp_9/logs/exp1_active.20251120T074638Z.csv
compute,250.0,1000.0,62.0,0.248,100,0.9146024799999999,0.2116205481769896,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_0/logs/exp1_active.20251118T225609Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_0/logs/exp1_active.20251120T071905Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_1/logs/exp1_active.20251119T200759Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_1/logs/exp1_active.20251120T072012Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_2/logs/exp1_active.20251120T072118Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_3/logs/exp1_active.20251120T072224Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_4/logs/exp1_active.20251120T072330Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_5/logs/exp1_active.20251120T072436Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_6/logs/exp1_active.20251120T072543Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62ms_actscr/exp_7/logs/exp1_active.20251120T072649Z.csv
compute,250.0,1000.0,1.0,0.004,200,0.9776304,0.11224868479674942,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_0/logs/exp1_active.20251120T080952Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_0/logs/exp1_active.20251120T082053Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_1/logs/exp1_active.20251120T081058Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_1/logs/exp1_active.20251120T082200Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_2/logs/exp1_active.20251120T081204Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_2/logs/exp1_active.20251120T082306Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_3/logs/exp1_active.20251120T081310Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_3/logs/exp1_active.20251120T082412Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_4/logs/exp1_active.20251120T081416Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_4/logs/exp1_active.20251120T082518Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_5/logs/exp1_active.20251120T081523Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_5/logs/exp1_active.20251120T082625Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_6/logs/exp1_active.20251120T081629Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_6/logs/exp1_active.20251120T082731Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_7/logs/exp1_active.20251120T081735Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_7/logs/exp1_active.20251120T082837Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_8/logs/exp1_active.20251120T081841Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_8/logs/exp1_active.20251120T082943Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_9/logs/exp1_active.20251120T081947Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1ms_actscr/exp_9/logs/exp1_active.20251120T083049Z.csv
compute,1500.0,1000.0,375.0,0.25,100,5.814115259999999,0.8296443850035579,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_0/logs/exp1_active.20251118T231429Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_0/logs/exp1_active.20251120T104609Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_1/logs/exp1_active.20251119T202619Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_1/logs/exp1_active.20251120T104727Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_2/logs/exp1_active.20251120T104846Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_3/logs/exp1_active.20251120T105005Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_4/logs/exp1_active.20251120T105124Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_5/logs/exp1_active.20251120T105242Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_6/logs/exp1_active.20251120T105401Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/1500ms_ex/375ms_actscr/exp_7/logs/exp1_active.20251120T105520Z.csv
