mode,execution_ms,idle_scrapping_ms,active_interval_ms,active_fraction,n_traces,mean_delta_energy_j,median_delta_energy_j,std_delta_energy_j,mean_delta_energy_j_no_outliers,median_delta_energy_j_no_outliers,std_delta_energy_j_no_outliers,base_dir,source_csv_list
compute,250.0,1000.0,0.09766,0.00039,100,0.97123666,0.9569480000000004,0.10395425296669862,0.97123666,0.9569480000000004,0.10395425296669862,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_0/logs/exp1_active.20251121T014006Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_1/logs/exp1_active.20251121T014112Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_2/logs/exp1_active.20251121T014218Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_3/logs/exp1_active.20251121T014324Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_4/logs/exp1_active.20251121T014431Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_5/logs/exp1_active.20251121T014537Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_6/logs/exp1_active.20251121T014643Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_7/logs/exp1_active.20251121T014749Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_8/logs/exp1_active.20251121T014855Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_9/logs/exp1_active.20251121T015002Z.csv
compute,250.0,1000.0,12.5,0.05,100,0.9228300200000001,0.9057624999999999,0.12542840729396026,0.9132974432989691,0.8991699999999998,0.1147303142220219,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_0/logs/exp1_active.20251121T002251Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_1/logs/exp1_active.20251121T002358Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_2/logs/exp1_active.20251121T002504Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_3/logs/exp1_active.20251121T002610Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_4/logs/exp1_active.20251121T002716Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_5/logs/exp1_active.20251121T002822Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_6/logs/exp1_active.20251121T002928Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_7/logs/exp1_active.20251121T003034Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_8/logs/exp1_active.20251121T003140Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_9/logs/exp1_active.20251121T003246Z.csv
compute,250.0,1000.0,25.0,0.1,100,0.88818347,0.8638140000000005,0.1294534585434051,0.8611797065217391,0.856021999999999,0.09229191713660967,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_0/logs/exp1_active.20251120T072755Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_1/logs/exp1_active.20251120T072901Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_2/logs/exp1_active.20251120T073007Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_3/logs/exp1_active.20251120T073113Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_4/logs/exp1_active.20251120T073219Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_5/logs/exp1_active.20251120T073325Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_6/logs/exp1_active.20251120T073431Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_7/logs/exp1_active.20251120T073536Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_8/exp1_active.20251118T225715Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_9/exp1_active.20251119T200905Z.csv
compute,250.0,1000.0,250.0,1.0,100,0.9267980699999999,0.8102209999999994,0.4496725789280965,0.8470507765957445,0.7942765,0.30662532284765526,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_0/logs/exp1_active.20251120T065236Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_1/logs/exp1_active.20251120T065342Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_2/logs/exp1_active.20251120T065448Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_3/logs/exp1_active.20251120T065554Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_4/logs/exp1_active.20251120T065700Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_5/logs/exp1_active.20251120T065807Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_6/logs/exp1_active.20251120T065913Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_7/logs/exp1_active.20251120T070019Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_8/exp1_active.20251118T225251Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_9/exp1_active.20251119T200439Z.csv
compute,250.0,1000.0,6.25,0.025,100,0.9711312800000002,0.9456015000000004,0.13134159315373634,0.9643347272727274,0.9422040000000003,0.1131616093111764,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_0/logs/exp1_active.20251121T003353Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_1/logs/exp1_active.20251121T003459Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_2/logs/exp1_active.20251121T003605Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_3/logs/exp1_active.20251121T003711Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_4/logs/exp1_active.20251121T003817Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_5/logs/exp1_active.20251121T003924Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_6/logs/exp1_active.20251121T004030Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_7/logs/exp1_active.20251121T004136Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_8/logs/exp1_active.20251121T004242Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_9/logs/exp1_active.20251121T004348Z.csv
compute,250.0,1000.0,125.0,0.5,100,0.9420566000000001,0.8623345000000001,0.3111548298600874,0.8944080210526317,0.8614959999999998,0.2190452595111689,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_0/logs/exp1_active.20251120T071016Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_1/logs/exp1_active.20251120T071122Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_2/logs/exp1_active.20251120T071228Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_3/logs/exp1_active.20251120T071334Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_4/logs/exp1_active.20251120T071441Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_5/logs/exp1_active.20251120T071547Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_6/logs/exp1_active.20251120T071653Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_7/logs/exp1_active.20251120T071759Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_8/exp1_active.20251118T225503Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_9/exp1_active.20251119T200652Z.csv
compute,250.0,1000.0,0.78125,0.00313,100,0.9715722900000001,0.9626995,0.11344150606883674,0.9715722900000001,0.9626995,0.11344150606883674,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_0/logs/exp1_active.20251121T010700Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_1/logs/exp1_active.20251121T010806Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_2/logs/exp1_active.20251121T010912Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_3/logs/exp1_active.20251121T011018Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_4/logs/exp1_active.20251121T011125Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_5/logs/exp1_active.20251121T011231Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_6/logs/exp1_active.20251121T011337Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_7/logs/exp1_active.20251121T011443Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_8/logs/exp1_active.20251121T011549Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_9/logs/exp1_active.20251121T011656Z.csv
compute,250.0,1000.0,1.5625,0.00625,100,0.9242557999999998,0.9056664999999999,0.10455768746668037,0.9211977373737374,0.9042839999999996,0.10053637490772979,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_0/logs/exp1_active.20251121T005558Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_1/logs/exp1_active.20251121T005704Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_2/logs/exp1_active.20251121T005810Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_3/logs/exp1_active.20251121T005916Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_4/logs/exp1_active.20251121T010023Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_5/logs/exp1_active.20251121T010129Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_6/logs/exp1_active.20251121T010235Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_7/logs/exp1_active.20251121T010341Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_8/logs/exp1_active.20251121T010447Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_9/logs/exp1_active.20251121T010554Z.csv
compute,250.0,1000.0,62.5,0.25,100,0.9669938200000001,0.9284470000000004,0.1772274461913492,0.9514531632653062,0.9267340000000002,0.1376500566004089,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_0/logs/exp1_active.20251121T001150Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_1/logs/exp1_active.20251121T001256Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_2/logs/exp1_active.20251121T001402Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_3/logs/exp1_active.20251121T001508Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_4/logs/exp1_active.20251121T001615Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_5/logs/exp1_active.20251121T001721Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_6/logs/exp1_active.20251121T001827Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_7/logs/exp1_active.20251121T001933Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_8/logs/exp1_active.20251121T002039Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_9/logs/exp1_active.20251121T002146Z.csv
compute,250.0,1000.0,3.125,0.0125,100,0.9260558400000002,0.9142425000000005,0.1009085815714124,0.9167448350515465,0.9091420000000001,0.08712204742071268,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_0/logs/exp1_active.20251121T004456Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_1/logs/exp1_active.20251121T004602Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_2/logs/exp1_active.20251121T004708Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_3/logs/exp1_active.20251121T004814Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_4/logs/exp1_active.20251121T004920Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_5/logs/exp1_active.20251121T005027Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_6/logs/exp1_active.20251121T005133Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_7/logs/exp1_active.20251121T005239Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_8/logs/exp1_active.20251121T005345Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/3.12500ms_actscr/exp_9/logs/exp1_active.20251121T005451Z.csv
