datetime,footprint (gCO2/kWh),time
2026-01-01 00:00:00,218.35,00:00:00
2026-01-01 00:15:00,215.18,00:15:00
2026-01-01 00:30:00,213.01,00:30:00
2026-01-01 00:45:00,212.19,00:45:00
2026-01-01 01:00:00,206.45,01:00:00
2026-01-01 01:15:00,204.68,01:15:00
2026-01-01 01:30:00,204.07,01:30:00
2026-01-01 01:45:00,201.77,01:45:00
2026-01-01 02:00:00,194.7,02:00:00
2026-01-01 02:15:00,193.15,02:15:00
2026-01-01 02:30:00,192.17,02:30:00
2026-01-01 02:45:00,191.35,02:45:00
2026-01-01 03:00:00,191.1,03:00:00
2026-01-01 03:15:00,189.83,03:15:00
2026-01-01 03:30:00,190.35,03:30:00
2026-01-01 03:45:00,189.46,03:45:00
2026-01-01 04:00:00,190.69,04:00:00
2026-01-01 04:15:00,190.71,04:15:00
2026-01-01 04:30:00,190.21,04:30:00
2026-01-01 04:45:00,190.25,04:45:00
2026-01-01 05:00:00,189.02,05:00:00
2026-01-01 05:15:00,189.07,05:15:00
2026-01-01 05:30:00,189.2,05:30:00
2026-01-01 05:45:00,187.17,05:45:00
2026-01-01 06:00:00,187.16,06:00:00
2026-01-01 06:15:00,186.64,06:15:00
2026-01-01 06:30:00,186.01,06:30:00
2026-01-01 06:45:00,185.79,06:45:00
2026-01-01 07:00:00,181.41,07:00:00
2026-01-01 07:15:00,180.74,07:15:00
2026-01-01 07:30:00,181.24,07:30:00
2026-01-01 07:45:00,182.43,07:45:00
2026-01-01 08:00:00,180.09,08:00:00
2026-01-01 08:15:00,176.95,08:15:00
2026-01-01 08:30:00,174.79,08:30:00
2026-01-01 08:45:00,170.96,08:45:00
2026-01-01 09:00:00,169.76,09:00:00
2026-01-01 09:15:00,167.07,09:15:00
2026-01-01 09:30:00,165.49,09:30:00
2026-01-01 09:45:00,164.5,09:45:00
2026-01-01 10:00:00,160.09,10:00:00
2026-01-01 10:15:00,157.58,10:15:00
2026-01-01 10:30:00,155.85,10:30:00
2026-01-01 10:45:00,155.76,10:45:00
2026-01-01 11:00:00,155.83,11:00:00
2026-01-01 11:15:00,154.48,11:15:00
2026-01-01 11:30:00,154.53,11:30:00
2026-01-01 11:45:00,153.75,11:45:00
2026-01-01 12:00:00,154.0,12:00:00
2026-01-01 12:15:00,152.56,12:15:00
2026-01-01 12:30:00,153.07,12:30:00
2026-01-01 12:45:00,155.16,12:45:00
2026-01-01 13:00:00,155.69,13:00:00
2026-01-01 13:15:00,156.98,13:15:00
2026-01-01 13:30:00,159.1,13:30:00
2026-01-01 13:45:00,160.86,13:45:00
2026-01-01 14:00:00,164.59,14:00:00
2026-01-01 14:15:00,168.1,14:15:00
2026-01-01 14:30:00,169.4,14:30:00
2026-01-01 14:45:00,172.0,14:45:00
2026-01-01 15:00:00,175.55,15:00:00
2026-01-01 15:15:00,177.38,15:15:00
2026-01-01 15:30:00,178.44,15:30:00
2026-01-01 15:45:00,179.51,15:45:00
2026-01-01 16:00:00,180.68,16:00:00
2026-01-01 16:15:00,181.85,16:15:00
2026-01-01 16:30:00,182.84,16:30:00
2026-01-01 16:45:00,182.76,16:45:00
2026-01-01 17:00:00,182.73,17:00:00
2026-01-01 17:15:00,183.99,17:15:00
2026-01-01 17:30:00,184.16,17:30:00
2026-01-01 17:45:00,184.83,17:45:00
2026-01-01 18:00:00,186.62,18:00:00
2026-01-01 18:15:00,185.87,18:15:00
2026-01-01 18:30:00,184.74,18:30:00
2026-01-01 18:45:00,182.52,18:45:00
2026-01-01 19:00:00,176.91,19:00:00
2026-01-01 19:15:00,174.72,19:15:00
2026-01-01 19:30:00,173.18,19:30:00
2026-01-01 19:45:00,173.2,19:45:00
2026-01-01 20:00:00,173.39,20:00:00
2026-01-01 20:15:00,173.01,20:15:00
2026-01-01 20:30:00,173.17,20:30:00
2026-01-01 20:45:00,174.38,20:45:00
2026-01-01 21:00:00,181.33,21:00:00
2026-01-01 21:15:00,180.89,21:15:00
2026-01-01 21:30:00,181.11,21:30:00
2026-01-01 21:45:00,182.18,21:45:00
2026-01-01 22:00:00,183.13,22:00:00
2026-01-01 22:15:00,181.93,22:15:00
2026-01-01 22:30:00,181.95,22:30:00
2026-01-01 22:45:00,184.07,22:45:00
2026-01-01 23:00:00,183.61,23:00:00
2026-01-01 23:15:00,185.63,23:15:00
2026-01-01 23:30:00,186.63,23:30:00
2026-01-01 23:45:00,187.09,23:45:00
2026-01-02 00:00:00,186.65,00:00:00
2026-01-02 00:15:00,185.33,00:15:00
2026-01-02 00:30:00,184.14,00:30:00
2026-01-02 00:45:00,184.91,00:45:00
2026-01-02 01:00:00,184.42,01:00:00
2026-01-02 01:15:00,183.87,01:15:00
2026-01-02 01:30:00,184.36,01:30:00
2026-01-02 01:45:00,185.31,01:45:00
2026-01-02 02:00:00,185.7,02:00:00
2026-01-02 02:15:00,185.94,02:15:00
2026-01-02 02:30:00,187.03,02:30:00
2026-01-02 02:45:00,188.77,02:45:00
2026-01-02 03:00:00,188.98,03:00:00
2026-01-02 03:15:00,189.6,03:15:00
2026-01-02 03:30:00,190.69,03:30:00
2026-01-02 03:45:00,191.78,03:45:00
2026-01-02 04:00:00,193.23,04:00:00
2026-01-02 04:15:00,198.32,04:15:00
2026-01-02 04:30:00,201.13,04:30:00
2026-01-02 04:45:00,204.54,04:45:00
2026-01-02 05:00:00,206.33,05:00:00
2026-01-02 05:15:00,209.51,05:15:00
2026-01-02 05:30:00,212.66,05:30:00
2026-01-02 05:45:00,215.14,05:45:00
2026-01-02 06:00:00,218.08,06:00:00
2026-01-02 06:15:00,220.52,06:15:00
2026-01-02 06:30:00,222.92,06:30:00
2026-01-02 06:45:00,226.88,06:45:00
2026-01-02 07:00:00,228.87,07:00:00
2026-01-02 07:15:00,228.63,07:15:00
2026-01-02 07:30:00,230.52,07:30:00
2026-01-02 07:45:00,230.99,07:45:00
2026-01-02 08:00:00,229.37,08:00:00
2026-01-02 08:15:00,226.22,08:15:00
2026-01-02 08:30:00,223.62,08:30:00
2026-01-02 08:45:00,221.19,08:45:00
2026-01-02 09:00:00,213.6,09:00:00
2026-01-02 09:15:00,207.37,09:15:00
2026-01-02 09:30:00,203.8,09:30:00
2026-01-02 09:45:00,201.56,09:45:00
2026-01-02 10:00:00,200.89,10:00:00
2026-01-02 10:15:00,200.79,10:15:00
2026-01-02 10:30:00,198.16,10:30:00
2026-01-02 10:45:00,196.06,10:45:00
2026-01-02 11:00:00,194.28,11:00:00
2026-01-02 11:15:00,193.13,11:15:00
2026-01-02 11:30:00,192.56,11:30:00
2026-01-02 11:45:00,194.26,11:45:00
2026-01-02 12:00:00,196.24,12:00:00
2026-01-02 12:15:00,196.88,12:15:00
2026-01-02 12:30:00,199.12,12:30:00
2026-01-02 12:45:00,203.09,12:45:00
2026-01-02 13:00:00,206.01,13:00:00
2026-01-02 13:15:00,207.15,13:15:00
2026-01-02 13:30:00,208.88,13:30:00
2026-01-02 13:45:00,212.61,13:45:00
2026-01-02 14:00:00,216.88,14:00:00
2026-01-02 14:15:00,221.23,14:15:00
2026-01-02 14:30:00,223.62,14:30:00
2026-01-02 14:45:00,228.62,14:45:00
2026-01-02 15:00:00,233.42,15:00:00
2026-01-02 15:15:00,233.4,15:15:00
2026-01-02 15:30:00,234.17,15:30:00
2026-01-02 15:45:00,233.39,15:45:00
2026-01-02 16:00:00,233.15,16:00:00
2026-01-02 16:15:00,233.37,16:15:00
2026-01-02 16:30:00,235.78,16:30:00
2026-01-02 16:45:00,236.66,16:45:00
2026-01-02 17:00:00,237.51,17:00:00
2026-01-02 17:15:00,237.32,17:15:00
2026-01-02 17:30:00,236.81,17:30:00
2026-01-02 17:45:00,236.35,17:45:00
2026-01-02 18:00:00,237.22,18:00:00
2026-01-02 18:15:00,237.53,18:15:00
2026-01-02 18:30:00,238.04,18:30:00
2026-01-02 18:45:00,239.21,18:45:00
2026-01-02 19:00:00,236.89,19:00:00
2026-01-02 19:15:00,238.16,19:15:00
2026-01-02 19:30:00,238.81,19:30:00
2026-01-02 19:45:00,239.52,19:45:00
2026-01-02 20:00:00,236.3,20:00:00
2026-01-02 20:15:00,236.82,20:15:00
2026-01-02 20:30:00,238.65,20:30:00
2026-01-02 20:45:00,241.08,20:45:00
2026-01-02 21:00:00,246.08,21:00:00
2026-01-02 21:15:00,246.4,21:15:00
2026-01-02 21:30:00,248.51,21:30:00
2026-01-02 21:45:00,249.66,21:45:00
2026-01-02 22:00:00,244.09,22:00:00
2026-01-02 22:15:00,242.33,22:15:00
2026-01-02 22:30:00,241.28,22:30:00
2026-01-02 22:45:00,241.84,22:45:00
2026-01-02 23:00:00,228.87,23:00:00
2026-01-02 23:15:00,221.45,23:15:00
2026-01-02 23:30:00,217.73,23:30:00
2026-01-02 23:45:00,215.79,23:45:00
2026-01-03 00:00:00,211.38,00:00:00
2026-01-03 00:15:00,211.13,00:15:00
2026-01-03 00:30:00,208.61,00:30:00
2026-01-03 00:45:00,209.71,00:45:00
2026-01-03 01:00:00,208.92,01:00:00
2026-01-03 01:15:00,211.26,01:15:00
2026-01-03 01:30:00,213.72,01:30:00
2026-01-03 01:45:00,217.04,01:45:00
2026-01-03 02:00:00,216.79,02:00:00
2026-01-03 02:15:00,219.08,02:15:00
2026-01-03 02:30:00,219.71,02:30:00
2026-01-03 02:45:00,219.56,02:45:00
2026-01-03 03:00:00,214.99,03:00:00
2026-01-03 03:15:00,213.2,03:15:00
2026-01-03 03:30:00,214.62,03:30:00
2026-01-03 03:45:00,214.31,03:45:00
2026-01-03 04:00:00,212.59,04:00:00
2026-01-03 04:15:00,214.11,04:15:00
2026-01-03 04:30:00,217.48,04:30:00
2026-01-03 04:45:00,219.04,04:45:00
2026-01-03 05:00:00,219.36,05:00:00
2026-01-03 05:15:00,219.22,05:15:00
2026-01-03 05:30:00,220.43,05:30:00
2026-01-03 05:45:00,225.35,05:45:00
2026-01-03 06:00:00,229.71,06:00:00
2026-01-03 06:15:00,231.96,06:15:00
2026-01-03 06:30:00,233.58,06:30:00
2026-01-03 06:45:00,237.97,06:45:00
2026-01-03 07:00:00,242.1,07:00:00
2026-01-03 07:15:00,245.13,07:15:00
2026-01-03 07:30:00,248.14,07:30:00
2026-01-03 07:45:00,250.31,07:45:00
2026-01-03 08:00:00,253.11,08:00:00
2026-01-03 08:15:00,251.84,08:15:00
2026-01-03 08:30:00,251.02,08:30:00
2026-01-03 08:45:00,249.55,08:45:00
2026-01-03 09:00:00,247.67,09:00:00
2026-01-03 09:15:00,245.73,09:15:00
2026-01-03 09:30:00,244.29,09:30:00
2026-01-03 09:45:00,241.72,09:45:00
2026-01-03 10:00:00,234.1,10:00:00
2026-01-03 10:15:00,230.74,10:15:00
2026-01-03 10:30:00,225.83,10:30:00
2026-01-03 10:45:00,220.85,10:45:00
2026-01-03 11:00:00,215.77,11:00:00
2026-01-03 11:15:00,215.25,11:15:00
2026-01-03 11:30:00,214.47,11:30:00
2026-01-03 11:45:00,213.73,11:45:00
2026-01-03 12:00:00,211.45,12:00:00
2026-01-03 12:15:00,211.2,12:15:00
2026-01-03 12:30:00,212.01,12:30:00
2026-01-03 12:45:00,213.29,12:45:00
2026-01-03 13:00:00,216.58,13:00:00
2026-01-03 13:15:00,218.89,13:15:00
2026-01-03 13:30:00,218.96,13:30:00
2026-01-03 13:45:00,221.58,13:45:00
2026-01-03 14:00:00,231.68,14:00:00
2026-01-03 14:15:00,237.81,14:15:00
2026-01-03 14:30:00,244.1,14:30:00
2026-01-03 14:45:00,249.71,14:45:00
2026-01-03 15:00:00,254.47,15:00:00
2026-01-03 15:15:00,253.94,15:15:00
2026-01-03 15:30:00,254.61,15:30:00
2026-01-03 15:45:00,253.53,15:45:00
2026-01-03 16:00:00,254.64,16:00:00
2026-01-03 16:15:00,254.36,16:15:00
2026-01-03 16:30:00,252.76,16:30:00
2026-01-03 16:45:00,250.92,16:45:00
2026-01-03 17:00:00,250.04,17:00:00
2026-01-03 17:15:00,249.23,17:15:00
2026-01-03 17:30:00,247.51,17:30:00
2026-01-03 17:45:00,245.77,17:45:00
2026-01-03 18:00:00,243.22,18:00:00
2026-01-03 18:15:00,240.19,18:15:00
2026-01-03 18:30:00,237.59,18:30:00
2026-01-03 18:45:00,234.29,18:45:00
2026-01-03 19:00:00,232.44,19:00:00
2026-01-03 19:15:00,233.49,19:15:00
2026-01-03 19:30:00,234.3,19:30:00
2026-01-03 19:45:00,237.72,19:45:00
2026-01-03 20:00:00,239.52,20:00:00
2026-01-03 20:15:00,241.05,20:15:00
2026-01-03 20:30:00,241.83,20:30:00
2026-01-03 20:45:00,242.41,20:45:00
2026-01-03 21:00:00,245.6,21:00:00
2026-01-03 21:15:00,245.64,21:15:00
2026-01-03 21:30:00,244.62,21:30:00
2026-01-03 21:45:00,242.59,21:45:00
2026-01-03 22:00:00,237.54,22:00:00
2026-01-03 22:15:00,238.51,22:15:00
2026-01-03 22:30:00,238.89,22:30:00
2026-01-03 22:45:00,242.23,22:45:00
2026-01-03 23:00:00,238.81,23:00:00
2026-01-03 23:15:00,239.55,23:15:00
2026-01-03 23:30:00,239.93,23:30:00
2026-01-03 23:45:00,241.82,23:45:00
2026-01-04 00:00:00,244.3,00:00:00
2026-01-04 00:15:00,246.77,00:15:00
2026-01-04 00:30:00,248.07,00:30:00
2026-01-04 00:45:00,249.17,00:45:00
2026-01-04 01:00:00,246.09,01:00:00
2026-01-04 01:15:00,249.07,01:15:00
2026-01-04 01:30:00,250.59,01:30:00
2026-01-04 01:45:00,250.64,01:45:00
2026-01-04 02:00:00,247.52,02:00:00
2026-01-04 02:15:00,249.49,02:15:00
2026-01-04 02:30:00,251.57,02:30:00
2026-01-04 02:45:00,254.99,02:45:00
2026-01-04 03:00:00,258.03,03:00:00
2026-01-04 03:15:00,259.68,03:15:00
2026-01-04 03:30:00,261.3,03:30:00
2026-01-04 03:45:00,263.55,03:45:00
2026-01-04 04:00:00,266.88,04:00:00
2026-01-04 04:15:00,266.52,04:15:00
2026-01-04 04:30:00,266.4,04:30:00
2026-01-04 04:45:00,267.55,04:45:00
2026-01-04 05:00:00,267.72,05:00:00
2026-01-04 05:15:00,268.59,05:15:00
2026-01-04 05:30:00,273.45,05:30:00
2026-01-04 05:45:00,276.42,05:45:00
2026-01-04 06:00:00,281.97,06:00:00
2026-01-04 06:15:00,285.86,06:15:00
2026-01-04 06:30:00,288.11,06:30:00
2026-01-04 06:45:00,288.08,06:45:00
2026-01-04 07:00:00,289.78,07:00:00
2026-01-04 07:15:00,290.38,07:15:00
2026-01-04 07:30:00,291.36,07:30:00
2026-01-04 07:45:00,291.61,07:45:00
2026-01-04 08:00:00,293.76,08:00:00
2026-01-04 08:15:00,290.36,08:15:00
2026-01-04 08:30:00,289.1,08:30:00
2026-01-04 08:45:00,289.83,08:45:00
2026-01-04 09:00:00,295.22,09:00:00
2026-01-04 09:15:00,293.44,09:15:00
2026-01-04 09:30:00,288.24,09:30:00
2026-01-04 09:45:00,283.45,09:45:00
2026-01-04 10:00:00,280.1,10:00:00
2026-01-04 10:15:00,278.46,10:15:00
2026-01-04 10:30:00,278.79,10:30:00
2026-01-04 10:45:00,279.38,10:45:00
2026-01-04 11:00:00,277.49,11:00:00
2026-01-04 11:15:00,276.96,11:15:00
2026-01-04 11:30:00,277.52,11:30:00
2026-01-04 11:45:00,277.76,11:45:00
2026-01-04 12:00:00,279.84,12:00:00
2026-01-04 12:15:00,278.56,12:15:00
2026-01-04 12:30:00,281.36,12:30:00
2026-01-04 12:45:00,284.13,12:45:00
2026-01-04 13:00:00,289.4,13:00:00
2026-01-04 13:15:00,294.44,13:15:00
2026-01-04 13:30:00,300.41,13:30:00
2026-01-04 13:45:00,309.54,13:45:00
2026-01-04 14:00:00,320.44,14:00:00
2026-01-04 14:15:00,329.57,14:15:00
2026-01-04 14:30:00,336.6,14:30:00
