datetime,footprint (gCO2/kWh),time
2026-01-01 00:00:00,141.19,00:00:00
2026-01-01 00:15:00,141.36,00:15:00
2026-01-01 00:30:00,142.4,00:30:00
2026-01-01 00:45:00,142.34,00:45:00
2026-01-01 01:00:00,146.68,01:00:00
2026-01-01 01:15:00,146.7,01:15:00
2026-01-01 01:30:00,145.12,01:30:00
2026-01-01 01:45:00,145.13,01:45:00
2026-01-01 02:00:00,136.48,02:00:00
2026-01-01 02:15:00,136.93,02:15:00
2026-01-01 02:30:00,130.44,02:30:00
2026-01-01 02:45:00,130.53,02:45:00
2026-01-01 03:00:00,119.88,03:00:00
2026-01-01 03:15:00,120.01,03:15:00
2026-01-01 03:30:00,115.52,03:30:00
2026-01-01 03:45:00,115.69,03:45:00
2026-01-01 04:00:00,111.92,04:00:00
2026-01-01 04:15:00,111.97,04:15:00
2026-01-01 04:30:00,111.45,04:30:00
2026-01-01 04:45:00,111.51,04:45:00
2026-01-01 05:00:00,110.89,05:00:00
2026-01-01 05:15:00,110.8,05:15:00
2026-01-01 05:30:00,102.59,05:30:00
2026-01-01 05:45:00,102.63,05:45:00
2026-01-01 06:00:00,101.58,06:00:00
2026-01-01 06:15:00,101.61,06:15:00
2026-01-01 06:30:00,102.52,06:30:00
2026-01-01 06:45:00,102.49,06:45:00
2026-01-01 07:00:00,99.55,07:00:00
2026-01-01 07:15:00,99.54,07:15:00
2026-01-01 07:30:00,98.22,07:30:00
2026-01-01 07:45:00,98.24,07:45:00
2026-01-01 08:00:00,98.58,08:00:00
2026-01-01 08:15:00,98.51,08:15:00
2026-01-01 08:30:00,101.04,08:30:00
2026-01-01 08:45:00,101.05,08:45:00
2026-01-01 09:00:00,98.35,09:00:00
2026-01-01 09:15:00,98.24,09:15:00
2026-01-01 09:30:00,95.08,09:30:00
2026-01-01 09:45:00,94.91,09:45:00
2026-01-01 10:00:00,92.46,10:00:00
2026-01-01 10:15:00,92.45,10:15:00
2026-01-01 10:30:00,89.91,10:30:00
2026-01-01 10:45:00,89.59,10:45:00
2026-01-01 11:00:00,83.79,11:00:00
2026-01-01 11:15:00,83.83,11:15:00
2026-01-01 11:30:00,84.67,11:30:00
2026-01-01 11:45:00,84.67,11:45:00
2026-01-01 12:00:00,82.16,12:00:00
2026-01-01 12:15:00,82.1,12:15:00
2026-01-01 12:30:00,84.28,12:30:00
2026-01-01 12:45:00,84.48,12:45:00
2026-01-01 13:00:00,86.71,13:00:00
2026-01-01 13:15:00,86.68,13:15:00
2026-01-01 13:30:00,89.89,13:30:00
2026-01-01 13:45:00,89.67,13:45:00
2026-01-01 14:00:00,90.5,14:00:00
2026-01-01 14:15:00,90.31,14:15:00
2026-01-01 14:30:00,94.9,14:30:00
2026-01-01 14:45:00,94.91,14:45:00
2026-01-01 15:00:00,95.57,15:00:00
2026-01-01 15:15:00,95.71,15:15:00
2026-01-01 15:30:00,100.5,15:30:00
2026-01-01 15:45:00,100.57,15:45:00
2026-01-01 16:00:00,100.89,16:00:00
2026-01-01 16:15:00,100.96,16:15:00
2026-01-01 16:30:00,106.04,16:30:00
2026-01-01 16:45:00,105.93,16:45:00
2026-01-01 17:00:00,112.5,17:00:00
2026-01-01 17:15:00,112.68,17:15:00
2026-01-01 17:30:00,112.52,17:30:00
2026-01-01 17:45:00,112.52,17:45:00
2026-01-01 18:00:00,110.93,18:00:00
2026-01-01 18:15:00,110.95,18:15:00
2026-01-01 18:30:00,103.8,18:30:00
2026-01-01 18:45:00,103.74,18:45:00
2026-01-01 19:00:00,101.59,19:00:00
2026-01-01 19:15:00,101.64,19:15:00
2026-01-01 19:30:00,96.75,19:30:00
2026-01-01 19:45:00,96.54,19:45:00
2026-01-01 20:00:00,96.07,20:00:00
2026-01-01 20:15:00,96.16,20:15:00
2026-01-01 20:30:00,95.61,20:30:00
2026-01-01 20:45:00,95.64,20:45:00
2026-01-01 21:00:00,97.19,21:00:00
2026-01-01 21:15:00,97.19,21:15:00
2026-01-01 21:30:00,89.27,21:30:00
2026-01-01 21:45:00,89.33,21:45:00
2026-01-01 22:00:00,89.67,22:00:00
2026-01-01 22:15:00,89.81,22:15:00
2026-01-01 22:30:00,87.79,22:30:00
2026-01-01 22:45:00,88.13,22:45:00
2026-01-01 23:00:00,81.74,23:00:00
2026-01-01 23:15:00,82.22,23:15:00
2026-01-01 23:30:00,83.6,23:30:00
2026-01-01 23:45:00,83.52,23:45:00
2026-01-02 00:00:00,79.13,00:00:00
2026-01-02 00:15:00,79.0,00:15:00
2026-01-02 00:30:00,84.92,00:30:00
2026-01-02 00:45:00,84.87,00:45:00
2026-01-02 01:00:00,85.92,01:00:00
2026-01-02 01:15:00,85.96,01:15:00
2026-01-02 01:30:00,83.09,01:30:00
2026-01-02 01:45:00,84.36,01:45:00
2026-01-02 02:00:00,80.08,02:00:00
2026-01-02 02:15:00,80.24,02:15:00
2026-01-02 02:30:00,77.86,02:30:00
2026-01-02 02:45:00,77.5,02:45:00
2026-01-02 03:00:00,77.1,03:00:00
2026-01-02 03:15:00,77.19,03:15:00
2026-01-02 03:30:00,75.81,03:30:00
2026-01-02 03:45:00,75.5,03:45:00
2026-01-02 04:00:00,77.05,04:00:00
2026-01-02 04:15:00,77.04,04:15:00
2026-01-02 04:30:00,80.86,04:30:00
2026-01-02 04:45:00,80.77,04:45:00
2026-01-02 05:00:00,83.87,05:00:00
2026-01-02 05:15:00,83.97,05:15:00
2026-01-02 05:30:00,85.63,05:30:00
2026-01-02 05:45:00,85.66,05:45:00
2026-01-02 06:00:00,92.17,06:00:00
2026-01-02 06:15:00,92.07,06:15:00
2026-01-02 06:30:00,97.78,06:30:00
2026-01-02 06:45:00,97.7,06:45:00
2026-01-02 07:00:00,99.41,07:00:00
2026-01-02 07:15:00,99.34,07:15:00
2026-01-02 07:30:00,100.69,07:30:00
2026-01-02 07:45:00,100.28,07:45:00
2026-01-02 08:00:00,100.13,08:00:00
2026-01-02 08:15:00,99.97,08:15:00
2026-01-02 08:30:00,105.13,08:30:00
2026-01-02 08:45:00,105.32,08:45:00
