datetime,footprint (gCO2/kWh),time
2026-01-01 00:00:00,13.45,00:00:00
2026-01-01 00:15:00,13.3,00:15:00
2026-01-01 00:30:00,13.4,00:30:00
2026-01-01 00:45:00,13.47,00:45:00
2026-01-01 01:00:00,14.51,01:00:00
2026-01-01 01:15:00,14.48,01:15:00
2026-01-01 01:30:00,14.35,01:30:00
2026-01-01 01:45:00,14.27,01:45:00
2026-01-01 02:00:00,13.47,02:00:00
2026-01-01 02:15:00,13.6,02:15:00
2026-01-01 02:30:00,13.69,02:30:00
2026-01-01 02:45:00,13.8,02:45:00
2026-01-01 03:00:00,14.35,03:00:00
2026-01-01 03:15:00,14.19,03:15:00
2026-01-01 03:30:00,14.13,03:30:00
2026-01-01 03:45:00,14.06,03:45:00
2026-01-01 04:00:00,14.05,04:00:00
2026-01-01 04:15:00,14.03,04:15:00
2026-01-01 04:30:00,14.02,04:30:00
2026-01-01 04:45:00,14.1,04:45:00
2026-01-01 05:00:00,14.98,05:00:00
2026-01-01 05:15:00,14.97,05:15:00
2026-01-01 05:30:00,15.07,05:30:00
2026-01-01 05:45:00,15.12,05:45:00
2026-01-01 06:00:00,14.85,06:00:00
2026-01-01 06:15:00,14.83,06:15:00
2026-01-01 06:30:00,14.81,06:30:00
2026-01-01 06:45:00,14.77,06:45:00
2026-01-01 07:00:00,14.79,07:00:00
2026-01-01 07:15:00,14.89,07:15:00
2026-01-01 07:30:00,14.83,07:30:00
2026-01-01 07:45:00,14.79,07:45:00
2026-01-01 08:00:00,14.99,08:00:00
2026-01-01 08:15:00,14.95,08:15:00
2026-01-01 08:30:00,14.97,08:30:00
2026-01-01 08:45:00,14.91,08:45:00
2026-01-01 09:00:00,14.88,09:00:00
2026-01-01 09:15:00,14.91,09:15:00
2026-01-01 09:30:00,14.88,09:30:00
2026-01-01 09:45:00,14.9,09:45:00
2026-01-01 10:00:00,13.68,10:00:00
2026-01-01 10:15:00,13.64,10:15:00
2026-01-01 10:30:00,13.38,10:30:00
2026-01-01 10:45:00,13.3,10:45:00
2026-01-01 11:00:00,13.79,11:00:00
2026-01-01 11:15:00,13.54,11:15:00
2026-01-01 11:30:00,13.51,11:30:00
2026-01-01 11:45:00,13.45,11:45:00
2026-01-01 12:00:00,13.35,12:00:00
2026-01-01 12:15:00,13.36,12:15:00
2026-01-01 12:30:00,13.29,12:30:00
2026-01-01 12:45:00,13.35,12:45:00
2026-01-01 13:00:00,13.2,13:00:00
2026-01-01 13:15:00,13.03,13:15:00
2026-01-01 13:30:00,13.11,13:30:00
2026-01-01 13:45:00,13.14,13:45:00
2026-01-01 14:00:00,13.12,14:00:00
2026-01-01 14:15:00,13.13,14:15:00
2026-01-01 14:30:00,13.1,14:30:00
2026-01-01 14:45:00,13.11,14:45:00
2026-01-01 15:00:00,14.03,15:00:00
2026-01-01 15:15:00,13.89,15:15:00
2026-01-01 15:30:00,14.88,15:30:00
2026-01-01 15:45:00,14.81,15:45:00
2026-01-01 16:00:00,14.63,16:00:00
2026-01-01 16:15:00,14.61,16:15:00
2026-01-01 16:30:00,14.51,16:30:00
2026-01-01 16:45:00,14.57,16:45:00
2026-01-01 17:00:00,14.71,17:00:00
2026-01-01 17:15:00,14.65,17:15:00
2026-01-01 17:30:00,14.66,17:30:00
2026-01-01 17:45:00,14.71,17:45:00
2026-01-01 18:00:00,14.65,18:00:00
2026-01-01 18:15:00,14.71,18:15:00
2026-01-01 18:30:00,14.7,18:30:00
2026-01-01 18:45:00,14.78,18:45:00
2026-01-01 19:00:00,14.7,19:00:00
2026-01-01 19:15:00,14.79,19:15:00
2026-01-01 19:30:00,14.85,19:30:00
2026-01-01 19:45:00,14.89,19:45:00
2026-01-01 20:00:00,15.05,20:00:00
2026-01-01 20:15:00,15.06,20:15:00
2026-01-01 20:30:00,15.05,20:30:00
2026-01-01 20:45:00,15.13,20:45:00
2026-01-01 21:00:00,15.34,21:00:00
2026-01-01 21:15:00,15.44,21:15:00
2026-01-01 21:30:00,15.38,21:30:00
2026-01-01 21:45:00,15.41,21:45:00
2026-01-01 22:00:00,15.69,22:00:00
2026-01-01 22:15:00,15.74,22:15:00
2026-01-01 22:30:00,15.82,22:30:00
2026-01-01 22:45:00,15.98,22:45:00
2026-01-01 23:00:00,15.55,23:00:00
2026-01-01 23:15:00,15.59,23:15:00
2026-01-01 23:30:00,15.54,23:30:00
2026-01-01 23:45:00,15.44,23:45:00
2026-01-02 00:00:00,15.65,00:00:00
2026-01-02 00:15:00,15.67,00:15:00
2026-01-02 00:30:00,15.73,00:30:00
2026-01-02 00:45:00,15.64,00:45:00
2026-01-02 01:00:00,15.98,01:00:00
2026-01-02 01:15:00,16.01,01:15:00
2026-01-02 01:30:00,16.05,01:30:00
2026-01-02 01:45:00,16.68,01:45:00
2026-01-02 02:00:00,17.37,02:00:00
2026-01-02 02:15:00,17.33,02:15:00
2026-01-02 02:30:00,17.37,02:30:00
2026-01-02 02:45:00,17.38,02:45:00
2026-01-02 03:00:00,17.3,03:00:00
2026-01-02 03:15:00,17.27,03:15:00
2026-01-02 03:30:00,17.23,03:30:00
2026-01-02 03:45:00,17.13,03:45:00
2026-01-02 04:00:00,16.47,04:00:00
2026-01-02 04:15:00,16.41,04:15:00
2026-01-02 04:30:00,16.4,04:30:00
2026-01-02 04:45:00,16.41,04:45:00
2026-01-02 05:00:00,17.33,05:00:00
2026-01-02 05:15:00,17.09,05:15:00
2026-01-02 05:30:00,16.88,05:30:00
2026-01-02 05:45:00,16.68,05:45:00
2026-01-02 06:00:00,18.0,06:00:00
2026-01-02 06:15:00,18.05,06:15:00
2026-01-02 06:30:00,18.06,06:30:00
2026-01-02 06:45:00,18.13,06:45:00
2026-01-02 07:00:00,19.07,07:00:00
2026-01-02 07:15:00,19.33,07:15:00
2026-01-02 07:30:00,19.32,07:30:00
2026-01-02 07:45:00,19.08,07:45:00
2026-01-02 08:00:00,19.15,08:00:00
2026-01-02 08:15:00,19.25,08:15:00
2026-01-02 08:30:00,19.24,08:30:00
2026-01-02 08:45:00,19.33,08:45:00
2026-01-02 09:00:00,19.54,09:00:00
2026-01-02 09:15:00,19.3,09:15:00
2026-01-02 09:30:00,19.14,09:30:00
2026-01-02 09:45:00,19.39,09:45:00
2026-01-02 10:00:00,19.23,10:00:00
2026-01-02 10:15:00,19.06,10:15:00
2026-01-02 10:30:00,19.19,10:30:00
2026-01-02 10:45:00,19.28,10:45:00
2026-01-02 11:00:00,19.82,11:00:00
2026-01-02 11:15:00,19.81,11:15:00
2026-01-02 11:30:00,19.67,11:30:00
2026-01-02 11:45:00,19.54,11:45:00
2026-01-02 12:00:00,19.56,12:00:00
2026-01-02 12:15:00,19.43,12:15:00
2026-01-02 12:30:00,19.39,12:30:00
2026-01-02 12:45:00,19.46,12:45:00
2026-01-02 13:00:00,19.13,13:00:00
2026-01-02 13:15:00,19.09,13:15:00
2026-01-02 13:30:00,19.04,13:30:00
2026-01-02 13:45:00,19.24,13:45:00
2026-01-02 14:00:00,19.16,14:00:00
2026-01-02 14:15:00,19.27,14:15:00
2026-01-02 14:30:00,19.2,14:30:00
2026-01-02 14:45:00,19.1,14:45:00
2026-01-02 15:00:00,18.6,15:00:00
2026-01-02 15:15:00,18.69,15:15:00
2026-01-02 15:30:00,18.73,15:30:00
2026-01-02 15:45:00,18.64,15:45:00
2026-01-02 16:00:00,18.38,16:00:00
2026-01-02 16:15:00,18.38,16:15:00
2026-01-02 16:30:00,18.39,16:30:00
2026-01-02 17:00:00,18.67,17:00:00
2026-01-02 17:15:00,18.63,17:15:00
2026-01-02 17:30:00,18.57,17:30:00
2026-01-02 17:45:00,18.62,17:45:00
2026-01-02 18:00:00,18.34,18:00:00
2026-01-02 18:15:00,18.19,18:15:00
2026-01-02 18:30:00,18.12,18:30:00
2026-01-02 18:45:00,18.09,18:45:00
2026-01-02 19:00:00,18.05,19:00:00
2026-01-02 19:15:00,17.94,19:15:00
2026-01-02 19:30:00,17.88,19:30:00
2026-01-02 19:45:00,17.88,19:45:00
2026-01-02 20:00:00,17.88,20:00:00
2026-01-02 20:15:00,17.84,20:15:00
2026-01-02 20:30:00,17.85,20:30:00
2026-01-02 20:45:00,17.9,20:45:00
2026-01-02 21:00:00,17.72,21:00:00
2026-01-02 21:15:00,17.65,21:15:00
2026-01-02 21:30:00,17.71,21:30:00
2026-01-02 21:45:00,17.86,21:45:00
2026-01-02 22:00:00,16.93,22:00:00
2026-01-02 22:15:00,16.72,22:15:00
2026-01-02 22:30:00,16.7,22:30:00
2026-01-02 22:45:00,16.7,22:45:00
2026-01-02 23:00:00,14.74,23:00:00
2026-01-02 23:15:00,14.82,23:15:00
2026-01-02 23:30:00,14.87,23:30:00
2026-01-02 23:45:00,14.83,23:45:00
2026-01-03 00:00:00,15.09,00:00:00
2026-01-03 00:15:00,15.1,00:15:00
2026-01-03 00:30:00,15.09,00:30:00
2026-01-03 00:45:00,15.05,00:45:00
2026-01-03 01:00:00,14.96,01:00:00
2026-01-03 01:15:00,14.94,01:15:00
2026-01-03 01:30:00,14.95,01:30:00
2026-01-03 01:45:00,15.01,01:45:00
