datetime,footprint (gCO2/kWh),time
2026-01-02 01:45:00,26.99,01:45:00
2026-01-02 02:00:00,28.15,02:00:00
2026-01-02 02:15:00,28.44,02:15:00
2026-01-02 02:30:00,28.3,02:30:00
2026-01-02 02:45:00,27.36,02:45:00
2026-01-02 03:00:00,28.35,03:00:00
2026-01-02 03:15:00,27.87,03:15:00
2026-01-02 03:30:00,27.67,03:30:00
2026-01-02 03:45:00,27.71,03:45:00
2026-01-02 04:00:00,27.41,04:00:00
2026-01-02 04:15:00,26.95,04:15:00
2026-01-02 04:30:00,26.2,04:30:00
2026-01-02 04:45:00,26.4,04:45:00
2026-01-02 05:00:00,27.4,05:00:00
2026-01-02 05:15:00,28.42,05:15:00
2026-01-02 05:30:00,29.3,05:30:00
2026-01-02 05:45:00,29.7,05:45:00
2026-01-02 06:00:00,29.8,06:00:00
2026-01-02 06:15:00,30.08,06:15:00
2026-01-02 06:30:00,29.3,06:30:00
2026-01-02 06:45:00,29.73,06:45:00
2026-01-02 07:00:00,30.12,07:00:00
2026-01-02 07:15:00,31.6,07:15:00
2026-01-02 07:30:00,31.6,07:30:00
2026-01-02 07:45:00,27.76,07:45:00
2026-01-02 08:00:00,25.44,08:00:00
2026-01-02 08:15:00,26.11,08:15:00
2026-01-02 08:30:00,26.74,08:30:00
2026-01-02 08:45:00,26.07,08:45:00
2026-01-02 09:00:00,23.19,09:00:00
2026-01-02 09:15:00,23.92,09:15:00
2026-01-02 09:30:00,22.6,09:30:00
2026-01-02 09:45:00,22.01,09:45:00
2026-01-02 10:00:00,20.93,10:00:00
2026-01-02 10:15:00,20.18,10:15:00
2026-01-02 10:30:00,19.99,10:30:00
2026-01-02 10:45:00,20.31,10:45:00
2026-01-02 11:00:00,19.69,11:00:00
2026-01-02 11:15:00,19.97,11:15:00
2026-01-02 11:30:00,20.6,11:30:00
2026-01-02 11:45:00,19.95,11:45:00
2026-01-02 12:00:00,21.23,12:00:00
2026-01-02 12:15:00,20.76,12:15:00
2026-01-02 12:30:00,20.42,12:30:00
2026-01-02 12:45:00,20.18,12:45:00
2026-01-02 13:00:00,20.87,13:00:00
2026-01-02 13:15:00,21.22,13:15:00
2026-01-02 13:30:00,21.76,13:30:00
2026-01-02 13:45:00,22.33,13:45:00
2026-01-02 14:00:00,23.49,14:00:00
2026-01-02 14:15:00,24.48,14:15:00
2026-01-02 14:30:00,26.03,14:30:00
2026-01-02 14:45:00,27.07,14:45:00
2026-01-02 15:00:00,29.65,15:00:00
2026-01-02 15:15:00,32.99,15:15:00
2026-01-02 15:30:00,34.97,15:30:00
2026-01-02 15:45:00,37.26,15:45:00
2026-01-02 16:00:00,38.91,16:00:00
2026-01-02 16:15:00,39.71,16:15:00
2026-01-02 16:30:00,40.13,16:30:00
2026-01-02 16:45:00,40.67,16:45:00
2026-01-02 17:00:00,41.57,17:00:00
2026-01-02 17:15:00,42.12,17:15:00
2026-01-02 17:30:00,42.83,17:30:00
2026-01-02 17:45:00,42.47,17:45:00
2026-01-02 18:00:00,43.86,18:00:00
2026-01-02 18:15:00,45.36,18:15:00
2026-01-02 18:30:00,46.12,18:30:00
2026-01-02 18:45:00,45.63,18:45:00
2026-01-02 19:00:00,45.72,19:00:00
2026-01-02 19:15:00,47.03,19:15:00
2026-01-02 19:30:00,48.45,19:30:00
2026-01-02 19:45:00,48.33,19:45:00
2026-01-02 20:00:00,48.06,20:00:00
2026-01-02 20:15:00,47.75,20:15:00
2026-01-02 20:30:00,48.2,20:30:00
2026-01-02 20:45:00,47.34,20:45:00
2026-01-02 21:00:00,46.08,21:00:00
2026-01-02 21:15:00,46.1,21:15:00
2026-01-02 21:30:00,47.98,21:30:00
2026-01-02 21:45:00,48.91,21:45:00
2026-01-02 22:00:00,49.02,22:00:00
2026-01-02 22:15:00,48.66,22:15:00
2026-01-02 22:30:00,48.45,22:30:00
2026-01-02 22:45:00,47.47,22:45:00
2026-01-02 23:00:00,45.79,23:00:00
2026-01-02 23:15:00,42.77,23:15:00
2026-01-02 23:30:00,40.24,23:30:00
2026-01-02 23:45:00,38.1,23:45:00
2026-01-03 00:00:00,35.4,00:00:00
2026-01-03 00:15:00,33.97,00:15:00
2026-01-03 00:30:00,35.19,00:30:00
2026-01-03 00:45:00,34.11,00:45:00
2026-01-03 01:00:00,35.42,01:00:00
2026-01-03 01:15:00,33.93,01:15:00
2026-01-03 01:30:00,34.46,01:30:00
2026-01-03 01:45:00,34.03,01:45:00
2026-01-03 02:00:00,34.02,02:00:00
2026-01-03 02:15:00,31.49,02:15:00
2026-01-03 02:30:00,31.38,02:30:00
2026-01-03 02:45:00,31.05,02:45:00
2026-01-03 03:00:00,30.63,03:00:00
2026-01-03 03:15:00,30.34,03:15:00
2026-01-03 03:30:00,30.41,03:30:00
2026-01-03 03:45:00,30.47,03:45:00
2026-01-03 04:00:00,30.66,04:00:00
2026-01-03 04:15:00,30.27,04:15:00
2026-01-03 04:30:00,30.79,04:30:00
2026-01-03 04:45:00,31.48,04:45:00
2026-01-03 05:00:00,31.3,05:00:00
