datetime,footprint (gCO2/kWh),time
2026-01-01 00:00:00,157.22,00:00:00
2026-01-01 00:15:00,157.27,00:15:00
2026-01-01 00:30:00,151.79,00:30:00
2026-01-01 00:45:00,151.77,00:45:00
2026-01-01 01:00:00,159.05,01:00:00
2026-01-01 01:15:00,159.05,01:15:00
2026-01-01 01:30:00,159.24,01:30:00
2026-01-01 01:45:00,159.25,01:45:00
2026-01-01 02:00:00,128.53,02:00:00
2026-01-01 02:15:00,128.68,02:15:00
2026-01-01 02:30:00,119.7,02:30:00
2026-01-01 02:45:00,119.74,02:45:00
2026-01-01 03:00:00,106.81,03:00:00
2026-01-01 03:15:00,106.85,03:15:00
2026-01-01 03:30:00,101.64,03:30:00
2026-01-01 03:45:00,101.7,03:45:00
2026-01-01 04:00:00,105.97,04:00:00
2026-01-01 04:15:00,105.99,04:15:00
2026-01-01 04:30:00,107.5,04:30:00
2026-01-01 04:45:00,107.52,04:45:00
2026-01-01 05:00:00,113.33,05:00:00
2026-01-01 05:15:00,113.3,05:15:00
2026-01-01 05:30:00,111.8,05:30:00
2026-01-01 05:45:00,111.81,05:45:00
2026-01-01 06:00:00,117.45,06:00:00
2026-01-01 06:15:00,117.46,06:15:00
2026-01-01 06:30:00,114.15,06:30:00
2026-01-01 06:45:00,114.14,06:45:00
2026-01-01 07:00:00,114.36,07:00:00
2026-01-01 07:15:00,114.36,07:15:00
2026-01-01 07:30:00,116.35,07:30:00
2026-01-01 07:45:00,116.36,07:45:00
2026-01-01 08:00:00,115.86,08:00:00
2026-01-01 08:15:00,115.83,08:15:00
2026-01-01 08:30:00,113.71,08:30:00
2026-01-01 08:45:00,113.71,08:45:00
2026-01-01 09:00:00,115.38,09:00:00
2026-01-01 09:15:00,115.34,09:15:00
2026-01-01 09:30:00,133.11,09:30:00
2026-01-01 09:45:00,133.06,09:45:00
2026-01-01 10:00:00,156.9,10:00:00
2026-01-01 10:15:00,156.91,10:15:00
2026-01-01 10:30:00,153.16,10:30:00
2026-01-01 10:45:00,153.03,10:45:00
2026-01-01 11:00:00,157.98,11:00:00
2026-01-01 11:15:00,157.99,11:15:00
2026-01-01 11:30:00,175.82,11:30:00
2026-01-01 11:45:00,175.82,11:45:00
2026-01-01 12:00:00,171.06,12:00:00
2026-01-01 12:15:00,171.04,12:15:00
2026-01-01 12:30:00,180.56,12:30:00
2026-01-01 12:45:00,180.63,12:45:00
2026-01-01 13:00:00,174.87,13:00:00
2026-01-01 13:15:00,174.86,13:15:00
2026-01-01 13:30:00,163.71,13:30:00
2026-01-01 13:45:00,163.64,13:45:00
2026-01-01 14:00:00,158.91,14:00:00
2026-01-01 14:15:00,158.85,14:15:00
2026-01-01 14:30:00,154.05,14:30:00
2026-01-01 14:45:00,154.06,14:45:00
2026-01-01 15:00:00,151.77,15:00:00
2026-01-01 15:15:00,151.82,15:15:00
2026-01-01 15:30:00,157.89,15:30:00
2026-01-01 15:45:00,157.9,15:45:00
2026-01-01 16:00:00,173.24,16:00:00
2026-01-01 16:15:00,173.27,16:15:00
2026-01-01 16:30:00,184.57,16:30:00
