,Year,MeanT,MinT,MaxT,P95,P90,P80,P70,P60,P50,P40,P30,P20,P10,P05
0,1937.0,9.077685950413224,-10.0,20.9,17.769999999999992,16.7,15.3,13.339999999999998,11.1,9.5,8.4,6.7,4.2,-0.8399999999999992,-3.849999999999999
1,1938.0,9.713850415512464,-2.5,21.7,17.5,16.7,15.6,14.7,11.7,9.2,7.8,5.9,4.2,2.2,0.9
2,1939.0,10.143287671232876,-5.6,21.1,17.8,16.7,14.8,13.4,11.780000000000001,10.3,8.9,7.5,5.3,3.3,2.22
3,1940.0,10.872131147540983,-2.5,20.8,18.3,17.5,16.4,15.0,13.3,10.850000000000001,9.2,7.5,5.9,3.1,1.4
4,1941.0,10.835068493150686,-4.4,25.0,18.4,17.26,15.6,14.2,12.3,10.6,9.2,8.1,6.4,4.02,2.5599999999999996
5,1942.0,10.3239010989011,-4.5,23.1,19.66999999999999,18.009999999999998,15.8,14.2,12.3,10.0,8.1,6.669999999999997,4.7,3.160000000000001,2.0
6,1943.0,9.634794520547945,-12.2,20.0,18.1,17.2,15.6,14.2,12.120000000000003,9.8,8.1,5.9,4.14,2.0799999999999996,0.0
7,1944.0,10.317213114754098,-3.4,20.9,18.9,17.5,15.9,14.049999999999992,12.3,10.45,8.6,6.7,4.5,2.8,1.4749999999999999
8,1945.0,9.913698630136986,-3.1,20.3,18.4,17.26,15.3,13.6,12.24,9.2,7.8,6.4,5.0,2.6199999999999997,1.1
9,1946.0,9.754246575342465,-3.4,21.1,17.5,16.96,15.639999999999997,14.2,12.0,8.7,7.5,6.1,4.7,2.8,1.4
10,1947.0,10.052054794520547,-9.5,20.6,18.1,17.26,16.1,14.5,12.3,10.3,8.3,6.4,4.659999999999999,2.5,0.6
11,1948.0,9.15327868852459,-6.4,20.6,17.8,17.0,15.6,14.2,10.9,8.350000000000001,6.4,5.3,3.7,2.0,0.375
12,1949.0,9.174794520547946,-6.7,20.9,17.8,16.7,15.359999999999998,14.2,12.0,9.7,7.979999999999998,6.1,3.4,-0.4800000000000004,-2.3
13,1950.0,8.985205479452055,-14.2,21.7,18.560000000000002,17.680000000000007,15.6,13.6,11.1,8.9,7.419999999999999,6.12,4.5,1.7,-7.74
14,1951.0,9.404657534246574,-10.3,21.7,18.38,17.5,15.82,13.9,12.0,9.2,7.2,5.3,3.5599999999999996,1.5199999999999996,-1.0400000000000003
15,1952.0,9.800819672131146,-6.7,21.7,18.6,17.0,15.6,13.649999999999997,12.2,9.5,7.8,6.0,4.5,2.3,0.9
16,1953.0,10.659178082191781,-1.1,21.7,18.1,17.3,15.939999999999998,14.139999999999995,12.3,10.3,8.1,7.0,6.1,4.58,3.44
17,1954.0,9.428219178082193,-7.3,18.6,16.7,15.9,14.839999999999998,13.6,11.520000000000001,9.5,7.8,6.4,5.0,2.5,0.6399999999999999
18,1955.0,8.608219178082193,-9.2,19.8,17.2,16.4,14.5,12.5,10.3,8.9,6.7,4.8,3.5599999999999996,1.5199999999999996,-0.6
