,Year,MeanT,MinT,MaxT,P95,P90,P80,P70,P60,P50,P40,P30,P20,P10,P05
0,1938.0,20.602173913043476,10.850000000000001,28.299999999999997,26.535,24.450000000000003,23.6,22.75,22.23,21.375,19.720000000000002,18.6,17.0,15.355,13.899999999999999
1,1939.0,20.185326086956525,10.85,26.35,24.970000000000002,23.6,23.0,21.95,21.1,20.299999999999997,19.55,18.71,18.11,16.1,15.0525
2,1940.0,18.82717391304348,8.3,26.65,25.272499999999997,24.700000000000003,22.7,21.65,20.330000000000002,19.049999999999997,17.9,15.565000000000001,14.71,13.669999999999998,11.95
3,1941.0,20.088586956521738,12.2,28.299999999999997,26.8975,25.225,23.05,22.5,21.1,19.875,18.62,17.875,16.65,15.579999999999998,13.9
4,1942.0,19.240760869565214,11.950000000000001,27.2,24.507500000000004,23.520000000000007,21.689999999999998,20.835,20.28,19.45,18.6,17.875,16.36,14.479999999999999,13.877500000000001
5,1943.0,20.303804347826087,13.35,26.95,24.975,23.9,23.0,22.25,21.580000000000002,20.55,19.7,18.724999999999998,16.95,15.58,14.7275
6,1944.0,20.308152173913044,11.7,28.049999999999997,26.235,25.245,23.09,22.2,21.1,20.275,19.45,18.6,17.5,15.084999999999999,14.2025
7,1945.0,18.73478260869565,5.25,25.799999999999997,24.450000000000003,23.575000000000003,22.150000000000002,21.65,20.73,19.025,17.8,17.215000000000003,15.600000000000001,13.929999999999998,10.33
8,1946.0,18.591576086956522,8.9,26.700000000000003,24.45,23.645,21.950000000000003,21.1,20.0,18.6,17.5,16.65,15.55,12.555,12.2525
9,1947.0,20.066304347826087,10.85,28.65,25.985,24.195000000000004,23.35,22.75,21.65,20.700000000000003,19.549999999999997,17.575,16.36,14.155000000000001,13.35
10,1948.0,19.948913043478264,13.05,30.799999999999997,25.932500000000005,24.675000000000004,22.5,21.324999999999996,20.8,19.875,19.0,17.875,16.95,15.325,14.6175
11,1949.0,22.073913043478264,9.75,29.7,28.322499999999998,26.65,25.549999999999997,24.185,23.5,22.2,21.4,20.09,19.209999999999997,17.275,14.615
12,1950.0,18.905978260869563,10.0,24.75,23.462500000000002,22.770000000000003,22.19,21.025,20.0,18.9,18.299999999999997,17.290000000000003,16.150000000000002,14.75,14.2
13,1951.0,19.358695652173914,12.75,25.0,24.260000000000005,23.295000000000005,21.849999999999998,20.74,20.0,19.325000000000003,18.87,17.965,16.95,15.325000000000001,14.45
14,1952.0,20.567934782608692,13.350000000000001,28.9,26.51,25.825,23.8,22.235,21.38,20.0,19.28,18.615000000000002,17.76,16.380000000000003,15.055
15,1953.0,20.076630434782608,13.35,27.5,25.6625,24.675000000000004,23.34,22.2,21.4,20.15,19.169999999999998,18.125,16.4,15.3,14.615
16,1954.0,19.511956521739133,10.0,25.549999999999997,24.45,23.275000000000002,22.25,21.234999999999996,20.15,19.7,18.73,18.065,16.95,15.58,14.5875
17,1955.0,22.092391304347824,14.15,30.55,28.322499999999998,27.470000000000002,25.84,24.15,23.05,22.225,21.1,20.0,18.299999999999997,16.654999999999998,15.965000000000002
18,1956.0,19.02445652173913,8.35,26.65,24.15,22.795,21.599999999999998,20.85,20.3,19.575000000000003,18.32,17.75,16.11,15.025,13.405000000000001
19,1957.0,19.840760869565216,11.4,27.25,26.099999999999998,24.125,23.29,22.125,20.700000000000003,19.575,18.62,18.1,16.74,15.799999999999999,13.7875
20,1958.0,19.163586956521737,10.0,26.700000000000003,24.282500000000002,23.645,22.45,21.875,20.55,19.174999999999997,18.32,17.04,15.81,13.925,12.915
21,1959.0,21.995108695652174,11.649999999999999,28.6,27.3625,26.3,25.0,23.9,23.35,22.375,21.5,20.375,19.25,16.45,14.615
22,1960.0,19.603804347826088,13.6,26.4,23.462500000000002,23.275000000000002,21.95,21.1,20.450000000000003,20.0,19.15,18.125,17.5,15.85,14.5875
23,1961.0,19.90108695652174,11.65,26.95,24.4475,23.830000000000002,23.049999999999997,22.424999999999997,21.4,20.55,19.0,17.875,16.459999999999997,15.28,14.7
24,1962.0,19.64021739130435,11.95,25.299999999999997,24.1725,23.05,21.95,20.55,20.0,19.450000000000003,19.02,18.425,17.76,16.455,14.9175
25,1963.0,19.842934782608694,10.8,28.1,26.099999999999998,25.0,23.189999999999998,21.95,20.580000000000002,19.700000000000003,18.9,17.75,16.459999999999997,15.28,13.765
26,1964.0,18.233695652173914,8.35,28.35,24.8625,23.320000000000004,21.950000000000003,20.74,19.7,18.35,16.95,15.85,14.709999999999999,13.104999999999999,10.58
27,1965.0,17.275543478260868,9.2,25.299999999999997,22.912499999999998,21.65,20.84,19.45,18.6,17.075000000000003,16.1,15.25,13.95,12.56,11.2375
28,1966.0,19.484782608695657,8.6,26.1,25.134999999999998,23.9,22.5,21.950000000000003,20.830000000000002,19.6,18.450000000000003,17.575,16.65,15.055,13.899999999999999
29,1967.0,18.69347826086957,12.200000000000001,25.55,23.212500000000002,21.95,21.14,20.285,19.700000000000003,18.6,18.07,17.5,16.150000000000002,14.479999999999999,13.9025
30,1968.0,18.21358695652174,9.45,27.2,25.135,23.325000000000003,21.9,20.459999999999997,19.35,18.2,16.7,15.55,14.409999999999998,13.85,12.915
31,1969.0,18.997282608695656,10.25,27.5,25.135,23.830000000000002,22.7,21.875,21.13,19.575000000000003,17.9,16.19,15.0,13.600000000000001,11.98
32,1970.0,19.132065217391304,10.0,26.4,24.7225,24.095000000000002,22.150000000000002,21.275,20.549999999999997,19.299999999999997,18.35,17.215,16.1,13.9,13.08
33,1971.0,18.539130434782606,11.1,26.099999999999998,24.0125,22.795,21.4,20.475,19.080000000000002,18.6,17.77,16.95,15.850000000000001,14.205,12.75
34,1972.0,17.948913043478264,6.699999999999999,25.8,24.1725,23.345000000000002,21.689999999999998,20.0,19.200000000000003,18.325000000000003,16.669999999999998,15.815000000000001,14.059999999999999,12.75,12.115
35,1973.0,20.331521739130434,12.2,28.9,26.8975,24.975,22.879999999999995,21.65,20.830000000000002,20.25,20.0,19.165,17.76,15.805,13.899999999999999
36,1974.0,18.889130434782608,13.049999999999999,26.65,24.1475,22.770000000000003,21.599999999999998,20.285,19.45,18.725,17.9,17.25,16.11,15.0,14.1775
37,1975.0,19.905434782608697,13.3,28.6,25.1125,24.15,23.26,21.86,20.8,20.0,19.15,17.5,16.45,15.255,14.450000000000001
38,1976.0,18.564673913043478,11.1,24.450000000000003,23.05,22.5,21.4,20.559999999999995,19.32,18.475,17.75,16.74,16.1,14.775,14.0375
39,1977.0,18.395108695652176,9.3,27.549999999999997,24.695,23.915000000000006,21.41,20.185,19.35,18.325000000000003,17.450000000000003,16.465,15.61,13.37,11.46
40,1978.0,18.933695652173913,10.25,28.799999999999997,24.8175,24.320000000000004,22.33,20.544999999999998,19.62,18.775000000000002,17.9,17.1,16.1,13.875,12.37
41,1979.0,18.753804347826087,10.35,25.5,24.1125,23.14,21.88,20.75,19.91,19.075000000000003,18.14,16.535,15.67,14.255,12.837499999999999
42,1980.0,18.976086956521737,7.95,25.799999999999997,24.7175,23.86,22.14,21.47,20.700000000000003,19.375,18.62,17.715,16.22,13.229999999999999,10.365
43,1981.0,19.104891304347824,10.9,26.75,23.96,22.69,21.689999999999998,20.65,19.86,19.1,18.27,17.365000000000002,16.380000000000003,15.100000000000001,14.855
44,1982.0,17.823913043478264,8.9,26.65,24.287500000000005,22.634999999999998,20.46,19.535,18.86,17.775,16.93,15.649999999999999,14.76,13.665000000000001,12.5825
45,1983.0,20.562500000000004,9.9,28.150000000000002,25.5075,24.840000000000003,23.580000000000002,22.950000000000003,22.53,21.575000000000003,20.47,18.880000000000003,17.21,15.145000000000001,12.942499999999999
46,1984.0,19.657608695652176,12.45,26.25,24.492500000000003,23.995,23.04,22.16,20.89,19.15,18.25,17.65,16.86,15.02,14.3275
47,1985.0,18.21358695652174,10.45,26.049999999999997,23.1525,22.095000000000002,20.98,19.85,18.830000000000002,18.375,17.45,16.65,15.55,14.239999999999998,13.15
48,1986.0,18.62336956521739,9.2,27.299999999999997,24.142500000000002,23.150000000000006,22.0,21.154999999999998,19.9,18.8,17.549999999999997,16.2,15.459999999999999,13.915,12.735
49,1987.0,20.571739130434786,10.2,28.35,26.7625,25.990000000000002,23.830000000000002,22.634999999999998,21.52,20.275,19.72,18.009999999999998,17.43,15.745,14.3775
50,1988.0,20.66467391304348,9.3,29.1,28.422500000000003,27.365000000000006,24.9,23.6,22.57,21.575000000000003,19.85,17.4,16.14,13.850000000000001,12.682500000000001
51,1989.0,19.828260869565216,13.3,26.75,25.3725,24.61,23.169999999999998,21.32,20.310000000000002,19.775,18.82,18.05,16.84,15.469999999999999,14.2375
52,1990.0,19.944021739130438,10.55,28.4,24.522499999999997,23.48,22.09,21.634999999999998,21.029999999999998,20.0,18.98,18.315,17.810000000000002,16.805,15.3025
53,1991.0,20.919021739130436,13.6,28.5,26.595,25.045,23.54,22.49,21.28,20.45,19.85,19.35,18.45,17.22,16.080000000000002
54,1992.0,17.428260869565214,8.4,24.85,21.8725,20.8,19.24,18.685,18.25,17.55,16.939999999999998,16.11,15.2,13.879999999999999,12.93
55,1993.0,19.93522727272727,10.8,28.05,25.789999999999996,24.294999999999998,23.1,21.695000000000004,20.86,19.9,18.93,18.15,17.21,16.04,14.207500000000001
56,1994.0,19.74891304347826,10.95,28.150000000000002,25.540000000000003,23.9,22.939999999999998,21.3,20.830000000000002,19.65,18.66,17.515,16.72,16.055,15.1775
57,1995.0,21.202717391304347,11.7,28.95,26.79,25.665000000000003,23.939999999999998,23.154999999999998,22.18,21.6,20.439999999999998,19.265,18.16,16.75,15.120000000000001
58,1996.0,19.62336956521739,15.25,26.200000000000003,22.9,22.39,21.740000000000002,21.05,20.3,19.7,18.99,18.315,17.4,16.22,15.700000000000001
59,1997.0,19.853804347826088,14.299999999999999,27.75,25.2175,24.76,22.9,22.16,20.5,19.325000000000003,18.38,17.45,16.95,16.105,15.16
60,1998.0,20.6125,9.45,27.0,26.022499999999997,24.945000000000004,23.59,22.854999999999997,22.13,20.95,20.02,19.224999999999998,18.5,16.169999999999998,12.032499999999999
61,1999.0,21.654347826086955,12.3,30.35,27.8675,26.29,24.669999999999998,23.57,22.98,21.65,20.85,19.605,18.57,16.669999999999998,14.9825
62,2000.0,19.63695652173913,11.8,24.7,23.9675,23.245,22.23,21.235,20.560000000000002,19.825000000000003,19.169999999999998,18.095,17.11,15.635,14.35
63,2001.0,21.25217391304348,11.100000000000001,30.55,27.365000000000002,25.835,24.61,22.835,21.98,21.4,20.34,19.294999999999998,18.5,16.7,14.375000000000002
64,2002.0,21.980978260869566,10.75,29.65,28.5075,26.995,25.82,24.48,23.029999999999998,22.5,20.87,19.695,18.7,16.67,14.794999999999998
65,2003.0,20.733695652173918,10.85,28.049999999999997,25.7075,24.634999999999998,23.189999999999998,22.685,22.23,21.275,20.189999999999998,19.245,17.730000000000004,16.105,14.885
66,2004.0,19.25,12.899999999999999,25.2,24.0,23.3,22.4,21.185,19.91,18.6,18.169999999999998,17.695,16.49,15.459999999999999,14.5025
67,2005.0,23.047826086956523,14.75,29.25,28.217499999999998,27.490000000000002,26.28,25.2,24.22,23.125,21.8,21.05,20.16,18.81,17.4575
68,2006.0,21.441847826086956,12.3,31.450000000000003,26.9725,26.570000000000004,24.419999999999998,23.035,22.19,20.95,20.419999999999998,19.645,18.810000000000002,17.5,16.0675
69,2007.0,21.469565217391303,12.5,28.799999999999997,27.3175,26.225,23.8,23.169999999999998,22.080000000000002,21.325,20.87,19.68,18.77,17.01,16.355
70,2008.0,20.260869565217387,12.950000000000001,27.1,25.645000000000003,24.140000000000004,22.509999999999998,21.97,21.16,20.275,19.46,18.7,17.86,16.455,15.3025
71,2009.0,19.103804347826088,12.5,27.2,24.5125,23.905000000000005,21.63,20.634999999999998,19.35,18.7,18.35,17.75,17.0,15.0,13.905
72,2010.0,21.633695652173916,13.9,28.5,27.452500000000004,25.820000000000004,24.299999999999997,23.354999999999997,22.61,21.924999999999997,21.05,19.995,18.75,17.255,15.205
73,2011.0,21.819565217391304,14.5,31.95,27.849999999999998,26.225,24.63,23.185000000000002,22.41,21.7,21.08,20.165,19.310000000000002,18.09,16.015
74,2012.0,22.147826086956524,13.35,29.599999999999998,27.765,26.525,24.39,23.72,23.03,22.55,21.52,20.515,19.6,17.775,15.1925
75,2013.0,20.619101123595506,11.55,29.45,26.69,24.78,23.96,22.709999999999997,21.23,20.2,19.85,18.66,17.560000000000002,16.49,14.77
76,2014.0,20.079347826086956,14.5,26.15,24.494999999999997,23.884999999999998,22.21,21.535,20.549999999999997,19.924999999999997,19.3,18.525,17.61,16.880000000000003,16.337500000000002
