,Year,MeanT,MinT,MaxT,P95,P90,P80,P70,P60,P50,P40,P30,P20,P10,P05
0,1937.0,15.993478260869564,12.2,20.9,18.9,18.39,17.46,16.91,16.4,15.9,15.42,15.0,14.5,13.629999999999999,13.1
1,1938.0,16.254347826086956,11.7,21.7,19.725,18.1,17.5,16.7,16.4,16.2,15.9,15.6,15.0,14.25,13.1
2,1939.0,15.911956521739134,10.8,21.1,20.3,19.120000000000005,17.8,17.0,16.4,15.9,15.6,14.73,13.959999999999999,12.8,12.0
3,1940.0,16.91304347826087,13.1,20.8,19.035,18.580000000000002,18.1,17.8,17.5,17.2,16.7,16.2,15.82,14.7,14.455
4,1941.0,17.133695652173913,13.1,25.0,21.835,19.17,18.4,17.71,17.26,17.0,16.52,15.9,15.6,15.0,14.31
5,1942.0,17.33626373626374,12.0,23.1,22.15,20.9,19.7,18.9,17.8,17.5,16.7,15.8,14.8,13.7,13.350000000000001
6,1943.0,16.42717391304348,10.6,20.0,18.735,18.39,18.1,17.5,17.2,16.7,16.279999999999998,15.39,14.84,14.2,13.655
7,1944.0,16.781521739130437,12.5,20.9,20.3,19.5,18.6,17.8,17.42,16.7,16.14,15.6,15.0,13.93,13.24
8,1945.0,16.48695652173913,11.7,20.3,19.7,19.17,18.4,17.8,17.2,16.4,16.1,15.3,14.54,13.6,13.3
9,1946.0,16.23913043478261,11.7,21.1,18.79,18.37,17.5,17.139999999999997,16.7,16.4,15.9,15.3,14.719999999999999,13.9,13.4
10,1947.0,16.703260869565216,13.9,20.6,19.2,18.39,17.8,17.3,17.0,16.799999999999997,16.4,15.96,15.36,14.82,14.31
11,1948.0,16.59130434782609,13.3,20.6,19.17,18.4,17.8,17.2,17.0,16.7,16.1,15.6,15.0,14.8,14.365
12,1949.0,15.917391304347827,10.9,20.9,18.925,18.1,17.2,16.7,16.1,16.1,15.6,15.0,14.5,13.93,12.8
13,1950.0,16.868478260869566,12.3,20.3,19.59,19.17,18.4,18.1,17.5,17.2,16.7,15.96,14.84,14.2,13.4
14,1951.0,16.989130434782613,12.5,21.7,20.3,19.2,18.38,18.01,17.42,17.1,16.82,15.9,15.3,14.52,13.51
15,1952.0,16.270652173913042,9.2,21.7,20.735,19.7,18.56,17.5,16.58,16.1,15.6,15.0,13.959999999999999,13.3,12.575000000000001
16,1953.0,16.516304347826086,12.2,21.7,19.59,18.6,18.1,17.5,17.12,16.7,16.4,15.6,14.5,13.9,13.1
17,1954.0,15.144565217391307,9.2,18.6,17.770000000000003,17.2,16.7,16.1,15.72,15.3,15.0,14.5,13.74,12.58,11.7
18,1955.0,15.346739130434784,11.1,19.8,18.1,17.5,16.7,16.4,16.02,15.3,14.7,14.5,13.9,13.1,12.275
19,1956.0,16.71304347826087,11.7,23.6,20.57,19.770000000000003,19.139999999999997,17.8,17.3,16.7,16.1,15.39,14.54,12.83,12.5
20,1957.0,16.434782608695656,12.8,18.4,18.3,17.5,17.3,17.0,17.0,16.7,16.279999999999998,16.1,15.36,14.82,14.31
21,1958.0,19.119565217391305,14.5,24.2,22.245,21.7,21.06,20.3,19.7,19.2,18.6,17.89,17.04,16.4,15.855
22,1959.0,16.792391304347824,11.7,22.0,20.435000000000002,19.98,18.68,17.71,17.26,16.549999999999997,15.9,15.6,15.0,14.2,13.9
23,1960.0,16.816304347826087,12.0,25.0,21.4,20.3,18.9,18.4,17.38,16.7,15.719999999999999,15.3,14.2,13.3,12.965
24,1961.0,18.241304347826087,13.6,25.0,20.990000000000002,20.78,19.8,19.339999999999996,18.9,18.35,17.92,17.36,16.459999999999997,15.03,14.5
25,1962.0,16.37391304347826,10.6,21.1,20.135,19.5,18.1,17.0,16.7,16.4,15.9,15.6,14.8,13.31,12.965
26,1963.0,16.256521739130438,12.0,20.3,18.925,18.3,17.74,17.0,16.7,16.4,16.1,15.6,14.84,14.2,13.265
27,1964.0,15.619565217391301,12.2,20.0,18.6,18.070000000000004,17.0,16.169999999999998,15.9,15.3,15.0,14.7,14.5,13.6,13.1
28,1965.0,16.57282608695652,12.2,22.8,20.990000000000002,19.770000000000003,18.56,17.8,17.2,16.7,15.6,15.0,14.5,13.3,13.1
29,1966.0,15.706521739130435,10.6,20.0,18.645,17.8,17.5,17.0,16.58,15.9,15.6,14.8,14.2,12.5,12.11
30,1967.0,17.788043478260875,13.6,22.8,20.990000000000002,20.3,19.5,18.9,18.1,17.8,17.0,16.7,16.16,15.6,15.0
31,1968.0,16.428260869565218,12.5,20.9,20.3,19.970000000000002,18.6,17.3,16.4,16.1,15.6,15.0,14.8,14.2,13.375
32,1969.0,16.73478260869565,12.8,22.5,19.835,19.2,18.26,17.71,17.0,16.7,16.2,15.6,15.0,14.5,13.9
33,1970.0,16.557608695652174,12.3,22.5,20.0,19.17,18.1,17.27,17.0,16.4,16.1,15.6,15.0,13.93,13.265
34,1971.0,16.421739130434784,10.9,23.1,21.7,20.570000000000004,19.5,18.1,17.2,16.4,15.6,14.2,13.4,12.53,12.11
35,1972.0,16.44891304347826,12.3,22.5,20.0,18.9,18.4,17.71,17.0,16.4,15.6,15.3,14.719999999999999,13.719999999999999,13.1
36,1973.0,15.589130434782613,10.0,21.1,19.2,18.6,17.5,17.0,16.32,15.3,14.58,14.2,13.6,12.83,12.3
37,1974.0,15.939130434782607,10.3,21.1,19.59,19.17,18.04,17.0,16.7,16.1,15.3,14.56,13.9,12.850000000000001,12.11
38,1975.0,16.06847826086957,11.4,21.7,20.3,19.470000000000002,17.5,17.2,16.7,16.1,15.3,14.5,13.9,13.12,12.365
39,1976.0,15.496739130434783,9.2,19.7,18.6,18.1,17.4,16.4,16.1,15.8,15.3,14.7,13.9,12.83,11.265
40,1977.0,16.914130434782606,11.2,22.7,21.945,20.580000000000002,19.48,18.07,17.24,16.3,15.68,15.3,14.9,13.81,13.355
41,1978.0,17.252173913043478,13.4,23.3,20.715000000000003,20.090000000000003,19.0,18.169999999999998,17.66,16.95,16.5,15.9,15.42,14.7,14.255
42,1979.0,16.914130434782606,11.8,22.1,20.48,19.290000000000003,18.56,18.0,17.7,17.15,16.64,16.1,15.0,13.91,13.6
43,1980.0,15.73695652173913,10.9,20.7,18.9,17.89,17.18,16.77,16.060000000000002,15.7,15.24,14.6,14.32,13.61,12.655
44,1981.0,16.606521739130432,10.7,23.9,21.595000000000002,19.8,18.96,18.07,17.3,16.55,15.6,14.8,14.2,13.0,12.255
45,1982.0,16.856521739130436,12.5,21.8,20.045,19.7,18.78,17.8,17.2,16.7,16.4,15.73,15.02,14.32,13.51
46,1983.0,16.55434782608696,12.9,20.2,18.8,18.590000000000003,18.18,17.4,17.0,16.7,16.3,15.629999999999999,14.92,14.42,14.155
47,1984.0,16.50978260869565,11.1,21.7,20.145,19.270000000000003,18.5,17.77,17.12,16.4,16.0,15.33,14.54,13.51,12.965
48,1985.0,17.14673913043478,12.3,21.6,21.345,19.990000000000002,19.28,18.54,18.0,17.15,16.1,15.5,15.04,14.4,13.665000000000001
49,1986.0,16.88913043478261,12.2,22.0,20.315,19.490000000000002,18.38,17.9,17.16,16.8,16.38,15.93,15.4,14.41,13.665000000000001
50,1987.0,17.08804347826087,12.7,22.9,20.145,19.78,19.0,18.4,17.96,17.299999999999997,16.48,15.73,14.9,14.209999999999999,13.675
51,1988.0,16.817391304347826,10.8,23.6,21.0,19.7,18.4,18.0,17.560000000000002,17.05,16.439999999999998,15.629999999999999,14.459999999999999,13.709999999999999,13.21
52,1989.0,16.89891304347826,12.3,20.2,19.6,18.990000000000002,18.1,17.8,17.3,16.9,16.7,16.3,15.7,14.42,13.81
53,1990.0,17.733695652173914,10.8,25.1,22.345,21.19,19.78,19.11,18.46,17.6,17.04,16.4,15.8,14.3,13.155
54,1991.0,16.80652173913043,11.5,22.3,20.1,19.98,19.1,18.139999999999997,17.66,16.95,16.18,15.43,14.62,13.9,12.7
55,1992.0,17.815217391304348,13.1,22.6,20.945,20.490000000000002,19.28,18.8,18.16,17.6,17.34,16.93,16.52,15.3,14.8
56,1993.0,16.615116279069767,13.6,23.3,19.5,18.8,17.8,17.1,16.6,16.4,16.0,15.7,15.2,14.6,14.2
57,1994.0,17.352173913043476,12.6,22.7,21.640000000000004,20.090000000000003,19.3,18.5,17.9,17.6,16.84,16.23,15.1,14.31,13.365
58,1995.0,17.225,13.7,22.6,20.9,19.88,18.98,18.57,17.4,17.0,16.6,16.03,15.3,14.6,14.21
59,1996.0,17.178021978021977,12.7,22.0,20.799999999999997,20.4,19.4,18.6,17.7,17.0,16.6,16.0,15.0,14.0,13.5
60,1997.0,17.440217391304348,13.9,21.6,20.745,20.2,19.0,18.47,17.9,17.4,16.8,16.0,15.42,15.01,14.6
61,1998.0,18.35108695652174,14.5,25.9,22.045,21.16,20.0,19.4,18.96,18.1,17.54,16.93,16.3,15.6,15.1
62,1999.0,16.47173913043478,10.5,20.8,19.9,19.4,19.1,18.339999999999996,17.46,16.799999999999997,16.18,14.66,14.02,13.209999999999999,12.13
63,2000.0,16.71413043478261,10.4,21.3,19.8,18.990000000000002,18.3,17.8,17.4,16.75,16.34,15.73,15.02,14.32,13.3
64,2001.0,16.504347826086956,10.5,20.6,19.445,19.2,18.26,17.3,17.0,16.6,16.34,15.83,14.82,14.11,12.665000000000001
65,2002.0,17.454347826086956,12.9,22.4,20.745,20.3,19.28,18.6,17.96,17.2,16.84,16.330000000000002,15.940000000000001,14.6,14.055
66,2003.0,18.17173913043478,13.0,22.2,20.8,20.590000000000003,19.7,19.3,18.86,18.4,17.939999999999998,17.330000000000002,16.32,15.42,14.655
67,2004.0,18.81086956521739,12.7,23.8,22.28,21.570000000000004,20.6,20.04,19.36,19.0,18.64,18.2,16.9,15.719999999999999,14.52
68,2005.0,17.583695652173912,12.0,22.5,20.990000000000002,20.150000000000002,19.5,18.77,18.2,17.85,17.4,16.66,15.74,14.9,13.665000000000001
69,2006.0,17.64673913043478,14.1,24.4,20.545,20.28,18.98,18.2,17.8,17.4,17.04,16.6,16.22,15.4,15.0
70,2007.0,17.29565217391304,12.2,23.1,20.445,19.9,18.9,18.47,17.92,17.45,17.14,16.7,15.32,13.82,12.955
71,2008.0,16.682608695652174,9.2,23.3,21.59,19.590000000000003,18.88,18.0,17.46,16.950000000000003,16.4,15.4,14.0,13.209999999999999,11.5
72,2009.0,18.355434782608697,12.9,28.4,23.035,21.4,19.66,19.0,18.46,17.9,17.34,17.0,16.4,15.81,15.41
73,2010.0,17.12391304347826,11.6,23.4,21.79,21.19,18.88,18.0,17.46,16.85,16.24,15.43,15.1,14.209999999999999,13.7
74,2011.0,16.92391304347826,11.9,21.9,19.445,18.9,18.38,17.8,17.5,17.25,16.74,16.06,15.3,14.51,14.0
75,2012.0,17.03804347826087,10.5,23.0,21.525000000000002,20.39,19.0,18.4,17.9,17.45,16.84,15.46,14.44,13.33,12.8
76,2013.0,17.729545454545452,13.9,22.5,20.259999999999994,19.53,18.9,18.7,18.419999999999998,18.1,17.66,17.11,16.28,14.9,14.535
77,2014.0,17.973913043478262,12.9,21.9,21.1,20.68,19.939999999999998,19.3,18.7,18.25,17.7,16.96,16.2,14.81,14.31
78,2015.0,18.568131868131868,14.1,23.6,21.65,20.7,20.4,19.5,18.9,18.4,17.9,17.5,16.9,16.2,15.8
79,2016.0,17.636263736263736,11.8,21.3,20.3,20.0,19.4,18.7,18.1,17.7,17.4,17.0,16.5,15.2,14.25
80,2017.0,17.6054347826087,13.1,22.5,19.990000000000002,19.7,19.26,18.77,18.4,17.95,17.4,16.93,16.12,14.239999999999998,13.7
